"","V1","V2","V3","V4"
"119",167,12068549,1,12068715
"120",197,12074183,1,12074379
"121",219,12074740,1,12074958
"122",131,12080903,1,12081033
"123",199,12083294,1,12083492
"124",93,12084129,1,12084221
"125",224,12085059,1,12085282
"126",217,12091999,1,12092215
"127",314,12092349,1,12092662
"128",140,12093625,1,12093764
"129",254,12096675,1,12096928
"130",328,12099533,1,12099860
"131",146,12104296,1,12104441
"132",289,12105569,1,12105857
"133",212,12106424,1,12106635
"134",82,12107350,1,12107431
"135",210,12108207,1,12108416
"136",172,12109505,1,12109676
"137",281,12115712,1,12115992
"138",181,12116402,1,12116582
"139",131,12117539,1,12117669
"140",196,12120998,1,12121193
"141",165,12122173,1,12122337
"142",129,12128395,1,12128523
"143",198,12129684,1,12129881
"144",167,12134033,1,12134199
"145",134,12136592,1,12136725
"146",222,12141147,1,12141368
"147",115,12143916,1,12144030
"148",217,12150069,1,12150285
"149",191,12156600,1,12156790
"150",134,12157757,1,12157890
"151",185,12161985,1,12162169
"152",193,12163354,1,12163546
"153",200,12164139,1,12164338
"154",159,12166233,1,12166391
"155",178,12169955,1,12170132
"156",248,12170362,1,12170609
"157",348,12172089,1,12172436
"158",238,12177778,1,12178015
"159",248,12178333,1,12178580
"160",253,12183872,1,12184124
"161",219,12185281,1,12185499
"162",373,12190902,1,12191274
"163",191,12192085,1,12192275
"164",245,12197176,1,12197420
"165",327,12197670,1,12197996
"166",264,12198620,1,12198883
"167",239,12204520,1,12204758
"168",117,12210083,1,12210199
"169",147,12212890,1,12213036
"170",200,12220450,1,12220649
"171",178,12227133,1,12227310
"172",221,12227570,1,12227790
"173",203,12233441,1,12233643
"174",170,12235087,1,12235256
"175",202,12241269,1,12241470
"176",48,12242126,1,12242173
"177",237,12249353,1,12249589
"178",159,12251236,1,12251394
"179",149,12257280,1,12257428
"180",131,12261172,1,12261302
"181",159,12267059,1,12267217
"182",181,12268416,1,12268596
"183",199,12274980,1,12275178
"184",91,12276612,1,12276702
"185",207,12280781,1,12280987
"186",183,12288523,1,12288705
"187",192,12293216,1,12293407
"188",220,12303775,1,12303994
"189",164,12304179,1,12304342
"190",205,12309264,1,12309468
"191",219,12317425,1,12317643
"192",243,12321706,1,12321948
"193",342,12322484,1,12322825
"194",47,12325229,1,12325275
"195",220,12329783,1,12330002
"196",130,12333646,1,12333775
"197",221,12339866,1,12340086
"198",197,12345127,1,12345323
"199",158,12345860,1,12346017
"200",141,12348368,1,12348508
"201",197,12351465,1,12351661
"202",176,12352206,1,12352381
"203",230,12360271,1,12360500
"204",176,12361333,1,12361508
"205",220,12368635,1,12368854
"206",158,12370669,1,12370826
"207",234,12375166,1,12375399
"208",154,12376162,1,12376315
"209",164,12382020,1,12382183
"210",253,12384477,1,12384729
"211",421,12385055,1,12385475
"212",239,12385737,1,12385975
"213",176,12388654,1,12388829
"214",117,12391812,1,12391928
"215",334,12396138,1,12396471
"216",264,12402751,1,12403014
"217",200,12410278,1,12410477
"218",263,12410592,1,12410854
"219",271,12411153,1,12411423
"220",171,12412060,1,12412230
"221",60,12413563,1,12413622
"222",208,12416794,1,12417001
"223",196,12417726,1,12417921
"224",113,12420733,1,12420845
"225",172,12424428,1,12424599
"226",315,12424992,1,12425306
"227",226,12430409,1,12430634
"228",213,12431096,1,12431308
"229",109,12437066,1,12437174
"230",206,12437686,1,12437891
"231",222,12438361,1,12438582
"232",96,12439532,1,12439627
"233",224,12444654,1,12444877
"234",244,12445773,1,12446016
"235",16,12447912,1,12447927
"236",288,12451359,1,12451646
"237",192,12455209,1,12455400
"238",914,12457900,1,12458813
"239",101,12462426,1,12462526
"240",778,12465198,1,12465975
"241",198,12469314,1,12469511
"242",448,12474153,1,12474600
"243",407,12474732,1,12475138
"244",174,12479108,1,12479281
"245",179,12480518,1,12480696
"246",313,12485755,1,12486067
"247",173,12486634,1,12486806
"248",185,12491540,1,12491724
"249",152,12493055,1,12493206
"250",282,12500547,1,12500828
"251",358,12510264,1,12510621
"252",73,12511188,1,12511260
"253",263,12512564,1,12512826
"254",271,12516038,1,12516308
"255",249,12516614,1,12516862
"256",328,12517111,1,12517438
"257",288,12522233,1,12522520
"258",209,12523151,1,12523359
"259",230,12524896,1,12525125
"260",211,12529811,1,12530021
"261",260,12530240,1,12530499
"262",264,12530932,1,12531195
"263",120,12534877,1,12534996
"264",145,12535823,1,12535967
"265",148,12537023,1,12537170
"266",245,12537913,1,12538157
"267",239,12543272,1,12543510
"268",172,12551619,1,12551790
"269",246,12552662,1,12552907
"270",236,12558194,1,12558429
"271",197,12559087,1,12559283
"272",197,12563554,1,12563750
"273",192,12571332,1,12571523
"274",170,12572095,1,12572264
"275",273,12572683,1,12572955
"276",151,12577220,1,12577370
"277",224,12578119,1,12578342
"278",184,12584898,1,12585081
"279",211,12591727,1,12591937
"280",295,12592066,1,12592360
"281",179,12599128,1,12599306
"282",208,12599544,1,12599751
"283",194,12605633,1,12605826
"284",76,12609395,1,12609470
"285",239,12613277,1,12613515
"286",199,12613702,1,12613900
"287",234,12614363,1,12614596
"288",216,12619173,1,12619388
"289",142,12620754,1,12620895
"290",196,12625859,1,12626054
"291",188,12627196,1,12627383
"292",202,12633731,1,12633932
"293",312,12634597,1,12634908
"294",154,12639769,1,12639922
"295",188,12647120,1,12647307
"296",308,12647630,1,12647937
"297",163,12649045,1,12649207
"298",175,12660264,1,12660438
"299",167,12666478,1,12666644
"300",261,12666997,1,12667257
"301",73,12668409,1,12668481
"302",210,12674416,1,12674625
"303",312,12674912,1,12675223
"304",213,12676323,1,12676535
"305",233,12681282,1,12681514
"306",183,12682348,1,12682530
"307",270,12688673,1,12688942
"308",200,12696138,1,12696337
"309",317,12696818,1,12697134
"310",159,12700334,1,12700492
"311",110,12702016,1,12702125
"312",109,12705673,1,12705781
"313",184,12708592,1,12708775
"314",59,12712207,1,12712265
"315",215,12716105,1,12716319
"316",207,12717376,1,12717582
"317",389,12721787,1,12722175
"318",207,12722908,1,12723114
"319",146,12723772,1,12723917
"320",121,12729304,1,12729424
"321",200,12730229,1,12730428
"322",133,12731090,1,12731222
"323",223,12736599,1,12736821
"324",214,12742633,1,12742846
"325",142,12747587,1,12747728
"326",167,12750154,1,12750320
"327",166,12751102,1,12751267
"328",114,12754085,1,12754198
"329",141,12757520,1,12757660
"330",264,12757952,1,12758215
"331",172,12762165,1,12762336
"332",205,12765422,1,12765626
"333",196,12774246,1,12774441
"334",196,12778946,1,12779141
"335",217,12779324,1,12779540
"336",127,12785841,1,12785967
"337",214,12788752,1,12788965
"338",196,12794441,1,12794636
"339",144,12799274,1,12799417
"340",109,12805404,1,12805512
"341",151,12807383,1,12807533
"342",211,12807958,1,12808168
"343",181,12813724,1,12813904
"344",160,12815904,1,12816063
"345",195,12821012,1,12821206
"346",140,12821579,1,12821718
"347",168,12826914,1,12827081
"348",123,12827762,1,12827884
"349",147,12830607,1,12830753
"350",182,12833771,1,12833952
"351",150,12840755,1,12840904
"352",106,12842429,1,12842534
"353",218,12848452,1,12848669
"354",180,12855340,1,12855519
"355",144,12860187,1,12860330
"356",175,12865062,1,12865236
"357",228,12865553,1,12865780
"358",219,12871912,1,12872130
"359",120,12875990,1,12876109
"360",195,12883173,1,12883367
"361",214,12890628,1,12890841
"362",234,12899989,1,12900222
"363",312,12900536,1,12900847
"364",162,12903707,1,12903868
"365",145,12905179,1,12905323
"366",108,12908149,1,12908256
"367",204,12914203,1,12914406
"368",143,12915541,1,12915683
"369",189,12919709,1,12919897
"370",229,12920044,1,12920272
"371",201,12920664,1,12920864
"372",184,12927222,1,12927405
"373",209,12932942,1,12933150
"374",237,12942660,1,12942896
"375",214,12943116,1,12943329
"376",192,12946480,1,12946671
"377",138,12947823,1,12947960
"378",131,12955987,1,12956117
"379",126,12960752,1,12960877
"380",235,12967213,1,12967447
"381",176,12975989,1,12976164
"382",198,12976679,1,12976876
"383",218,12977692,1,12977909
"384",229,12981326,1,12981554
"385",323,12981988,1,12982310
"386",130,12983923,1,12984052
"387",154,12988644,1,12988797
"388",87,12992386,1,12992472
"389",189,12995058,1,12995246
"390",209,12996073,1,12996281
"391",243,13002943,1,13003185
"392",248,13003375,1,13003622
"393",205,13009371,1,13009575
"394",225,13010179,1,13010403
"395",223,13015707,1,13015929
"396",208,13016378,1,13016585
"397",138,13018323,1,13018460
"398",185,13022659,1,13022843
"399",291,13023171,1,13023461
"400",78,13029255,1,13029332
"401",239,13031203,1,13031441
"402",419,13031641,1,13032059
"403",149,13037136,1,13037284
"404",164,13045619,1,13045782
"405",214,13051188,1,13051401
"406",358,13051741,1,13052098
"407",201,13052814,1,13053014
"408",137,13055975,1,13056111
"409",153,13058729,1,13058881
"410",155,13063699,1,13063853
"411",134,13065681,1,13065814
"412",252,13071423,1,13071674
"413",180,13072675,1,13072854
"414",182,13077210,1,13077391
"415",117,13078234,1,13078350
"416",247,13084211,1,13084457
"417",284,13084988,1,13085271
"418",186,13086242,1,13086427
"419",180,13088849,1,13089028
"420",148,13090725,1,13090872
"421",197,13091577,1,13091773
"422",273,13092070,1,13092342
"423",281,13092579,1,13092859
"424",157,13096413,1,13096569
"425",213,13099301,1,13099513
"426",188,13099871,1,13100058
"427",243,13105938,1,13106180
"428",246,13106532,1,13106777
"429",179,13107329,1,13107507
"430",156,13108176,1,13108331
"431",57,13110174,1,13110230
"432",344,13116129,1,13116472
"433",283,13116728,1,13117010
"434",166,13117760,1,13117925
"435",186,13118787,1,13118972
"436",176,13119852,1,13120027
"437",166,13122267,1,13122432
"438",211,13124433,1,13124643
"439",226,13124841,1,13125066
"440",139,13126105,1,13126243
"441",235,13130160,1,13130394
"442",257,13130660,1,13130916
"443",160,13135895,1,13136054
"444",191,13136287,1,13136477
"445",165,13136984,1,13137148
"446",231,13138051,1,13138281
"447",148,13139713,1,13139860
"448",152,13140978,1,13141129
"449",270,13143495,1,13143764
"450",237,13143986,1,13144222
"451",201,13144921,1,13145121
"452",37,13147881,1,13147917
"453",115,13150846,1,13150960
"454",230,13151602,1,13151831
"455",134,13153813,1,13153946
"456",291,13158411,1,13158701
"457",292,13158847,1,13159138
"458",187,13163026,1,13163212
"459",174,13164746,1,13164919
"460",165,13166256,1,13166420
"461",43,13168478,1,13168520
"462",210,13173245,1,13173454
"463",272,13173600,1,13173871
"464",258,13174798,1,13175055
"465",219,13179421,1,13179639
"466",160,13184805,1,13184964
