"","V1","V2","V3","V4"
"1",82,11756649,1,11756730
"2",101,11757374,1,11757474
"3",135,11763297,1,11763431
"4",166,11768482,1,11768647
"5",121,11769681,1,11769801
"6",193,11775574,1,11775766
"7",184,11785788,1,11785971
"8",211,11791382,1,11791592
"9",172,11797127,1,11797298
"10",198,11797862,1,11798059
"11",119,11800081,1,11800199
"12",182,11803821,1,11804002
"13",156,11805269,1,11805424
"14",282,11805577,1,11805858
"15",233,11806487,1,11806719
"16",225,11813257,1,11813481
"17",183,11814422,1,11814604
"18",124,11815887,1,11816010
"19",213,11818391,1,11818603
"20",182,11818803,1,11818984
"21",174,11819983,1,11820156
"22",224,11820718,1,11820941
"23",329,11827874,1,11828202
"24",220,11840973,1,11841192
"25",134,11842134,1,11842267
"26",220,11847320,1,11847539
"27",237,11849689,1,11849925
"28",235,11855187,1,11855421
"29",254,11860408,1,11860661
"30",178,11862088,1,11862265
"31",174,11863095,1,11863268
"32",207,11864192,1,11864398
"33",90,11867967,1,11868056
"34",317,11868669,1,11868985
"35",681,11869081,1,11869761
"36",240,11876282,1,11876521
"37",194,11877389,1,11877582
"38",132,11878006,1,11878137
"39",271,11883766,1,11884036
"40",253,11889764,1,11890016
"41",159,11892040,1,11892198
"42",183,11898122,1,11898304
"43",162,11899599,1,11899760
"44",219,11903267,1,11903485
"45",227,11903676,1,11903902
"46",128,11910455,1,11910582
"47",224,11912699,1,11912922
"48",212,11918074,1,11918285
"49",188,11918645,1,11918832
"50",139,11920082,1,11920220
"51",135,11921325,1,11921459
"52",241,11925965,1,11926205
"53",177,11927043,1,11927219
"54",128,11928359,1,11928486
"55",223,11931825,1,11932047
"56",313,11935460,1,11935772
"57",129,11936643,1,11936771
"58",170,11937695,1,11937864
"59",214,11938676,1,11938889
"60",207,11940038,1,11940244
"61",211,11940629,1,11940839
"62",163,11941866,1,11942028
"63",212,11942956,1,11943167
"64",247,11944369,1,11944615
"65",296,11947108,1,11947403
"66",703,11947738,1,11948440
"67",147,11948588,1,11948734
"68",151,11949976,1,11950126
"69",392,11954486,1,11954877
"70",245,11955284,1,11955528
"71",169,11959594,1,11959762
"72",176,11962176,1,11962351
"73",268,11962483,1,11962750
"74",41,11963530,1,11963570
"75",119,11967996,1,11968114
"76",287,11968720,1,11969006
"77",229,11973870,1,11974098
"78",242,11974331,1,11974572
"79",239,11975406,1,11975644
"80",199,11977674,1,11977872
"81",169,11980996,1,11981164
"82",236,11981682,1,11981917
"83",237,11983873,1,11984109
"84",212,11987865,1,11988076
"85",173,11988824,1,11988996
"86",327,11989504,1,11989830
"87",39,11991332,1,11991370
"88",257,11999312,1,11999568
"89",200,11999950,1,12000149
"90",159,12001104,1,12001262
"91",203,12002154,1,12002356
"92",265,12005198,1,12005462
"93",436,12005642,1,12006077
"94",146,12008022,1,12008167
"95",167,12009296,1,12009462
"96",1116,12012629,1,12013744
"97",156,12015882,1,12016037
"98",168,12020701,1,12020868
"99",278,12022396,1,12022673
"100",275,12022926,1,12023200
"101",151,12023678,1,12023828
"102",188,12024823,1,12025010
"103",199,12028243,1,12028441
"104",652,12030554,1,12031205
"105",266,12032283,1,12032548
"106",424,12035598,1,12036021
"107",165,12040770,1,12040934
"108",395,12043048,1,12043442
"109",159,12043800,1,12043958
"110",93,12046145,1,12046237
"111",234,12050056,1,12050289
"112",80,12057447,1,12057526
"113",202,12057697,1,12057898
"114",159,12058368,1,12058526
"115",215,12059037,1,12059251
"116",139,12060614,1,12060752
"117",355,12064569,1,12064923
"118",204,12067018,1,12067221
