"","V1","V2","V3","V4"
"1",104,14904032,1,14904135
"2",113,14907136,1,14907248
"3",114,14907654,1,14907767
"4",115,14908597,1,14908711
"5",156,14920701,1,14920856
"6",114,14929524,1,14929637
"7",220,14940589,1,14940808
"8",135,14962932,1,14963066
"9",151,14976695,1,14976845
"10",145,14988955,1,14989099
"11",139,14989621,1,14989759
"12",22,14993853,1,14993874
"13",129,15003597,1,15003725
"14",181,15004022,1,15004202
"15",46,15021640,1,15021685
"16",135,15045459,1,15045593
"17",205,15045910,1,15046114
"18",358,15058449,1,15058806
"19",148,15058974,1,15059121
"20",151,15079838,1,15079988
"21",96,15087950,1,15088045
"22",114,15088278,1,15088391
"23",161,15093709,1,15093869
"24",161,15094104,1,15094264
"25",97,15094579,1,15094675
"26",130,15095033,1,15095162
"27",103,15095936,1,15096038
"28",60,15097482,1,15097541
"29",196,15128317,1,15128512
"30",33,15138220,1,15138252
"31",162,15148244,1,15148405
"32",84,15153090,1,15153173
"33",151,15176741,1,15176891
"34",65,15178009,1,15178073
"35",168,15183318,1,15183485
"36",162,15183922,1,15184083
"37",312,15184368,1,15184679
"38",199,15184863,1,15185061
"39",327,15189427,1,15189753
"40",880,15189973,1,15190852
"41",146,15198200,1,15198345
"42",156,15217751,1,15217906
"43",166,15218207,1,15218372
"44",103,15225221,1,15225323
"45",112,15225598,1,15225709
"46",143,15225934,1,15226076
"47",135,15242453,1,15242587
"48",137,15290507,1,15290643
"49",137,15291068,1,15291204
"50",121,15294466,1,15294586
"51",113,15320114,1,15320226
"52",129,15334017,1,15334145
"53",127,15334546,1,15334672
"54",233,15340538,1,15340770
"55",175,15341653,1,15341827
"56",116,15349956,1,15350071
"57",152,15373137,1,15373288
"58",177,15374232,1,15374408
"59",88,15376357,1,15376444
"60",113,15376850,1,15376962
"61",94,15381175,1,15381268
"62",192,15381516,1,15381707
"63",174,15381981,1,15382154
"64",166,15416016,1,15416181
"65",104,15417614,1,15417717
"66",149,15418021,1,15418169
"67",146,15443893,1,15444038
"68",155,15444470,1,15444624
"69",494,15444830,1,15445323
"70",169,15470664,1,15470832
"71",125,15471569,1,15471693
"72",95,15485277,1,15485371
"73",128,15485885,1,15486012
"74",150,15518376,1,15518525
"75",172,15519382,1,15519553
"76",163,15519826,1,15519988
"77",101,15521690,1,15521790
"78",86,15522256,1,15522341
"79",106,15524939,1,15525044
"80",140,15525569,1,15525708
"81",198,15532930,1,15533127
"82",142,15533340,1,15533481
"83",120,15533784,1,15533903
"84",90,15534805,1,15534894
"85",105,15546444,1,15546548
"86",158,15547029,1,15547186
"87",178,15553214,1,15553391
"88",107,15556114,1,15556220
"89",155,15559713,1,15559867
"90",162,15567703,1,15567864
"91",100,15582072,1,15582171
"92",168,15587258,1,15587425
"93",109,15607004,1,15607112
"94",167,15608355,1,15608521
"95",132,15614790,1,15614921
"96",193,15615290,1,15615482
"97",194,15628045,1,15628238
"98",150,15637003,1,15637152
"99",82,15638729,1,15638810
"100",157,15649588,1,15649744
"101",134,15653601,1,15653734
"102",179,15657987,1,15658165
"103",108,15672088,1,15672195
"104",186,15683985,1,15684170
