"","stimuli_3","durations_3","choices_3","choice_durations_3","record_3"
"1",11780682,4800,11785482,1017,11786499
"2",11794999,1800,11796799,3418,11800217
"3",11822633,4983,11827616,1017,11828633
"4",11843416,3667,11847083,1551,11848634
"5",11872400,3584,11875984,1634,11877618
"6",11886334,3233,11889567,1985,11891552
"7",11907751,4750,11912501,1017,11913518
"8",11929751,5500,11935251,1017,11936268
"9",11971968,1684,11973652,3534,11977186
"10",12040569,2334,12042903,2884,12045787
"11",12054270,3150,12057420,2068,12059488
"12",12110837,4650,12115487,1017,12116504
"13",12160088,1667,12161755,3551,12165306
"14",12188088,2717,12190805,2501,12193306
"15",12201839,2433,12204272,2784,12207056
"16",12222889,4450,12227339,1017,12228356
"17",12243706,5533,12249239,1017,12250256
"18",12326824,2750,12329574,2468,12332042
"19",12364624,3884,12368508,1334,12369842
"20",12407675,2450,12410125,2768,12412893
"21",12428892,1350,12430242,3868,12434110
"22",12442609,1800,12444409,3418,12447827
"23",12463659,1417,12465076,3801,12468877
"24",12477493,1417,12478910,3801,12482711
"25",12498076,2201,12500277,3017,12503294
"26",12520827,1550,12522377,3668,12526045
"27",12562011,1533,12563544,3685,12567229
"28",12582578,2117,12584695,3101,12587796
"29",12589444,1967,12591411,3251,12594662
"30",12631195,2300,12633495,2918,12636413
"31",12692979,3634,12696613,1584,12698197
"32",12755714,1550,12757264,3668,12760932
"33",12763480,1651,12765131,3567,12768698
"34",12811848,1667,12813515,3551,12817066
"35",12825581,1434,12827015,3784,12830799
"36",12832448,967,12833415,4251,12837666
"37",12867982,3700,12871682,1518,12873200
"38",12874849,1467,12876316,3751,12880067
"39",12911000,2983,12913983,2234,12916217
"40",12958984,1500,12960484,3717,12964201
"41",12972717,3200,12975917,2018,12977935
"42",13000484,2234,13002718,2984,13005702
"43",13007334,1784,13009118,3434,13012552
"44",13014184,1367,13015551,3851,13019402
"45",13041618,3650,13045268,1568,13046836
"46",13075952,1167,13077119,4051,13081170
"47",13090186,1250,13091436,3967,13095403
"48",13128036,2000,13130036,3218,13133254
"49",13169737,3533,13173270,1685,13174955
