"","stimuli_0","durations_0","choices_0","choice_durations_0","record_0"
"1",14918964,1117,14920081,4101,14924182
"2",14966931,934,14967865,4284,14972149
"3",15057116,1100,15058216,4118,15062334
"4",15063949,1201,15065150,4017,15069167
"5",15091400,1000,15092400,4218,15096618
"6",15098667,1366,15100033,3852,15103885
"7",15146667,884,15147551,4334,15151885
"8",15154284,1350,15155634,3868,15159502
"9",15161134,1700,15162834,3518,15166352
"10",15201835,1067,15202902,4151,15207053
"11",15208668,2167,15210835,3051,15213886
"12",15229252,883,15230135,4335,15234470
"13",15252036,733,15252769,4484,15257253
"14",15306887,1583,15308470,3634,15312104
"15",15323003,1051,15324054,4167,15328221
"16",15364921,1216,15366137,4002,15370139
"17",15378638,1916,15380554,3301,15383855
"18",15385504,934,15386438,4284,15390722
"19",15407138,1283,15408421,3935,15412356
"20",15421055,1633,15422688,3585,15426273
"21",15427905,1400,15429305,3818,15433123
"22",15503356,1634,15504990,3584,15508574
"23",15647192,1333,15648525,3885,15652410
"24",15682259,933,15683192,4285,15687477
"25",15709743,917,15710660,4301,15714961
"26",15716893,1167,15718060,4051,15722111
"27",15723910,1116,15725026,4101,15729127
"28",15751310,683,15751993,4535,15756528
"29",15779027,1467,15780494,3751,15784245
"30",15799627,1134,15800761,4084,15804845
"31",15834578,1117,15835695,4101,15839796
"32",15841461,1234,15842695,3984,15846679
"33",15848311,1017,15849328,4202,15853530
"34",15855412,1000,15856412,4218,15860630
"35",15889712,2134,15891846,3084,15894930
"36",15896562,884,15897446,4334,15901780
"37",15958280,1317,15959597,3901,15963498
"38",16027164,701,16027865,4517,16032382
"39",16034031,1917,16035948,3301,16039249
"40",16096849,700,16097549,4518,16102067
"41",16133583,1850,16135433,3368,16138801
"42",16161000,1183,16162183,4035,16166218
"43",16181567,1100,16182667,4118,16186785
"44",16196300,2401,16198701,2817,16201518
"45",16210034,1250,16211284,3968,16215252
"46",16216867,1050,16217917,4168,16222085
"47",16230601,1067,16231668,4151,16235819
"48",16251368,1217,16252585,4001,16256586
