"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"87",1592,15752277,827.4,1,1289.1,557.6,247,9.32,560.4,15752523
"88",1000,15754101,1212.5,1,858.8,562.8,158,7.18,591.5,15754258
"89",310,15754841,909,1,1202.3,558.2,43,5.94,559.4,15754883
"90",149,15755587,966.2,1,912.4,572.2,24,1.15,589.4,15755610
"91",180,15755906,914.6,1,968.8,587.4,32,1.12,578.6,15755937
"92",98,15756396,885.2,1,917.7,587.4,22,0.67,592.3,15756417
"93",59,15756938,924.1,1,903,586.2,16,0.65,610,15756953
"94",73,15757238,900.8,1,920.8,604.1,17,0.87,566.4,15757254
"95",150,15757773,872.9,1,916.3,569.6,29,1.02,545.1,15757801
"96",158,15758053,925.6,1,876.9,551.5,37,0.99,554.5,15758089
"97",299,15758350,1272.7,1,933.3,549.2,43,6.97,491.7,15758392
"98",584,15758564,515.1,1,1267.8,494,63,15.09,470.4,15758626
"99",186,15759225,675.2,1,513,469.5,39,3.66,551.7,15759263
"100",206,15761075,818.5,1,683.9,561,24,2.73,571.1,15761098
"101",163,15762207,780.4,1,876.8,534.2,22,2.04,561.7,15762228
"102",219,15763376,908.1,1,782.6,543.2,23,2.61,570.1,15763398
"103",114,15764183,916,1,948.7,564.7,29,0.67,568.6,15764211
"104",46,15764614,914.6,1,901,562.9,10,0.41,547.9,15764623
"105",134,15764901,842.6,1,904.5,544.7,23,1.26,549.7,15764923
"106",197,15765151,976.6,1,851.3,538.5,25,2.56,549.4,15765175
"107",367,15765341,1393.4,1,977,548.6,43,8.39,523.7,15765383
"108",611,15765537,493.9,1,1403.1,524.9,67,18.05,550.9,15765603
"109",1176,15766252,980.5,1,505.2,577.1,242,9.54,594.4,15766493
"110",1203,15767601,560.3,1,1005,572.4,204,8.96,561.3,15767804
"111",259,15768252,941.1,1,585.5,531.7,49,7.19,511,15768300
"112",172,15769122,868.6,1,929.1,509.1,34,1.24,516.1,15769155
"113",158,15769808,955.4,1,852.1,525.8,25,2.12,540,15769832
"114",179,15770821,968.7,1,861.6,540.1,24,2.18,544.8,15770844
"115",166,15771028,899.6,1,964.3,545.3,32,1.34,558,15771059
"116",177,15771596,828.4,1,912.2,554.1,24,1.72,542,15771619
"117",142,15771870,867.6,1,838.1,528.6,35,0.65,516.8,15771904
"118",409,15772083,516.3,1,881.7,521.6,52,7.36,506.2,15772134
"119",492,15772555,1308.7,1,507.7,514.1,56,16.01,502.7,15772610
"120",580,15772772,386.6,1,1313.7,501.3,69,18.38,513.7,15772840
"121",189,15773250,507.4,1,375.1,534.1,27,2.63,516.9,15773276
"122",454,15773698,1375.8,1,539,516.5,57,16.69,497.8,15773754
"123",582,15774008,387.4,1,1396.4,496.6,64,19.94,543.5,15774071
"124",256,15774720,1236.6,1,396.9,562.6,201,16.78,673,15774920
"125",289,15774952,1690.9,1,1253,672.6,51,8.56,710.9,15775002
"126",451,15775895,1362.2,1,1657.1,699.2,58,13.18,1336.1,15775952
"127",154,15776354,1543.2,1,1436.2,1390.5,23,1.98,1379.5,15776376
"128",168,15777657,1391.3,1,1483.5,1342.8,24,1.82,1308.4,15777680
"129",501,15777868,900.6,1,1393.1,1314.1,61,16.58,607.2,15777928
"130",130,15778074,888.8,1,891.5,635.2,22,1.69,552.7,15778095
"131",60,15778316,897.7,1,904.9,575.2,17,0.48,552.9,15778332
"132",400,15779226,396.1,1,906.9,552.2,57,10.35,466.1,15779282
"133",533,15779460,1311.2,1,392.1,472,69,18.24,475.2,15779528
"134",175,15779715,1381.1,1,1349.5,467.8,29,1.46,532,15779743
"135",43,15779941,1372.8,1,1384.1,540.2,10,0.38,555.5,15779950
"136",608,15780063,418,1,1373.9,554.6,69,18.91,534.7,15780131
"137",72,15780408,388.8,1,408.4,541.2,18,0.56,520.8,15780425
"138",258,15781082,749.2,1,406.5,515.5,55,6.84,539.3,15781136
"139",220,15781319,667.1,1,776.4,538.4,37,2.48,483.5,15781355
"140",133,15781581,758,1,668.9,494.6,23,1.82,482.8,15781603
"141",210,15782270,950,1,770.7,460.1,41,3.68,481,15782310
"142",45,15782767,970.2,1,961.6,476.3,13,0.5,498.8,15782779
"143",166,15783208,935,1,982.8,503.3,31,1,493,15783238
"144",65,15783966,917.3,1,924.1,499.7,12,0.65,530.7,15783977
"145",65,15784842,924.8,1,937.1,544.8,19,0.28,551.3,15784860
"146",92,15785070,888.3,1,929.7,552.8,21,0.84,555.7,15785090
"147",84,15785475,898.1,1,907.8,561.1,24,0.23,554.9,15785498
"148",397,15786076,479.7,1,878.9,555.9,45,8,558.4,15786120
"149",465,15786406,1262.9,1,493.4,578.4,66,15.44,507.9,15786471
"150",249,15786703,1444.4,1,1287.7,508.1,27,3.13,501.7,15786729
"151",614,15786887,478.8,1,1449.8,504.2,70,19.24,572.9,15786956
"152",442,15787392,1400,1,487.6,577.5,65,18.21,481.9,15787456
"153",190,15787746,1511.1,1,1407.4,480.6,23,2.11,505.4,15787768
"154",620,15787996,384.1,1,1502.5,503,76,21.97,582.4,15788071
"155",90,15788453,444,1,396.3,596.4,15,0.95,604.2,15788467
"156",232,15788928,694.1,1,440.4,609.3,42,5.05,602.5,15788969
"157",237,15789245,926.2,1,716.9,604.3,174,4.24,592.6,15789418
"158",1378,15789900,874.1,1,960.3,602,187,1.95,560,15790086
"159",62,15790549,923.2,1,904.4,535.9,11,0.58,556.8,15790559
"160",96,15790842,912,1,924.5,552,26,0.45,570.2,15790867
"161",39,15791603,860.9,1,870.4,561.4,5,0.19,562.2,15791607
"162",89,15791867,912.2,1,866.1,557.6,15,0.94,562.5,15791881
"163",154,15792510,871.4,1,914.5,558,31,0.94,541.4,15792540
"164",44,15792818,884.6,1,869.8,546.7,8,0.34,554.5,15792825
"165",372,15792973,473.4,1,879.7,555.1,55,8.27,487,15793027
"166",514,15793316,1330.1,1,468.1,499.4,55,17.2,563,15793370
"167",285,15793879,1101.5,1,1345.1,553.2,44,4.92,532.3,15793922
"168",211,15794413,920.5,1,1080.6,531.3,27,3.26,540.1,15794439
"169",254,15794623,714.3,1,921.2,544.2,47,4.38,605.7,15794669
"170",226,15795133,957.1,1,742,607.7,41,4.68,524.5,15795173
"171",261,15796064,790.6,1,955.3,533.9,28,3.37,552.4,15796091
"172",131,15796386,880.7,1,805.8,565.9,20,1.56,549.7,15796405
"173",47,15798773,893,1,895.1,556.1,17,0.17,548.3,15798789
"174",142,15799183,866.9,1,914.4,551.4,29,0.97,549.5,15799211
"175",144,15799352,945.2,1,857.2,551.9,24,1.81,563.9,15799375
"176",161,15799591,856.1,1,926.1,558.5,25,1.55,528.5,15799615
"177",390,15799829,450.2,1,858.4,533.6,53,8.19,506.5,15799881
"178",147,15800241,509.5,1,436.9,517,20,1.57,548.5,15800260
"179",479,15800401,1356.2,1,516.6,553.2,56,16.72,527.8,15800456
"180",442,15801118,1003.8,1,1339.7,536.9,218,7.33,676.8,15801335
"181",180,15801602,1100.4,1,1022,653.2,187,2.38,741.2,15801788
"182",101,15802775,1064.5,1,1069.2,686.8,21,1.43,616.5,15802795
"183",854,15803771,893,1,1033.8,622.7,136,2.96,584.8,15803906
"184",814,15805695,833,1,881.6,595,163,1.01,583.7,15805857
