"","V1","V2","V3","V4"
"1",110,13698542,1,13698651
"2",13,13717120,1,13717132
"3",129,13731138,1,13731266
"4",85,13769752,1,13769836
"5",92,13770139,1,13770230
"6",131,13809290,1,13809420
"7",119,13809690,1,13809808
"8",122,13810220,1,13810341
"9",118,13810697,1,13810814
"10",109,13874560,1,13874668
"11",52,13881623,1,13881674
"12",119,13932786,1,13932904
"13",110,13954157,1,13954266
"14",131,13954667,1,13954797
"15",104,13972630,1,13972733
"16",61,14030829,1,14030889
"17",75,14053590,1,14053664
"18",42,14054034,1,14054075
"19",96,14074239,1,14074334
"20",100,14109200,1,14109299
"21",149,14110517,1,14110665
"22",313,14110840,1,14111152
"23",65,14128936,1,14129000
"24",150,14203320,1,14203469
"25",124,14232838,1,14232961
"26",91,14234758,1,14234848
"27",99,14235507,1,14235605
"28",44,14256904,1,14256947
"29",91,14311041,1,14311131
"30",192,14316415,1,14316606
"31",405,14316886,1,14317290
"32",2,14317475,1,14317476
"33",64,14318477,1,14318540
"34",27,14320930,1,14320956
"35",110,14321208,1,14321317
"36",46,14323705,1,14323750
"37",88,14324042,1,14324129
"38",136,14325572,1,14325707
"39",189,14332834,1,14333022
"40",88,14346881,1,14346968
"41",156,14347177,1,14347332
"42",174,14347628,1,14347801
"43",140,14348383,1,14348522
"44",195,14389996,1,14390190
"45",728,14396378,1,14397105
"46",141,14399256,1,14399396
"47",167,14404979,1,14405145
"48",101,14409446,1,14409546
"49",146,14411491,1,14411636
"50",124,14416097,1,14416220
"51",92,14424470,1,14424561
"52",149,14435487,1,14435635
"53",123,14436029,1,14436151
"54",120,14437178,1,14437297
"55",82,14438430,1,14438511
"56",151,14456745,1,14456895
"57",91,14487232,1,14487322
"58",126,14501852,1,14501977
"59",184,14521829,1,14522012
"60",174,14542846,1,14543019
"61",9,14544255,1,14544263
"62",140,14558423,1,14558562
"63",149,14559262,1,14559410
"64",150,14575169,1,14575318
"65",153,14582830,1,14582982
"66",114,14584616,1,14584729
"67",201,14589462,1,14589662
"68",133,14589962,1,14590094
"69",153,14590524,1,14590676
"70",136,14590946,1,14591081
