"","Sbj2_fixation_timepoints","Sbj_fix_durations","Sbj2_stimuli_timepoints","Sbj2_durations","Sbj2_choice_timepoints","Sbj2_choice_durations","Sbj2_record_timepoints"
"1",11752118,1130,11753248,1784,11755032,3434,11758466
"2",11758985,1130,11760115,2700,11762815,2518,11765333
"3",11765840,1125,11766965,1200,11768165,4018,11772183
"4",11772687,1128,11773815,1417,11775232,3801,11779033
"5",11779551,1131,11780682,4800,11785482,1017,11786499
"6",11787005,1127,11788132,2984,11791116,2234,11793350
"7",11793873,1126,11794999,1800,11796799,3418,11800217
"8",11800731,1135,11801866,1683,11803549,3535,11807084
"9",11807581,1135,11808716,4300,11813016,1017,11814033
"10",11814536,1230,11815766,2384,11818150,2834,11820984
"11",11821503,1130,11822633,4983,11827616,1017,11828633
"12",11829109,1124,11830233,10500,11840733,1017,11841750
"13",11842268,1148,11843416,3667,11847083,1551,11848634
"14",11849163,1920,11851083,3884,11854967,1334,11856301
"15",11856817,1133,11857950,2217,11860167,3001,11863168
"16",11863689,1861,11865550,2867,11868417,2351,11870768
"17",11871269,1131,11872400,3584,11875984,1634,11877618
"18",11878140,1327,11879467,4034,11883501,1184,11884685
"19",11885198,1136,11886334,3233,11889567,1985,11891552
"20",11892059,1358,11893417,4467,11897884,1017,11898901
"21",11899418,1483,11900901,2150,11903051,3068,11906119
"22",11906627,1124,11907751,4750,11912501,1017,11913518
"23",11914006,1128,11915134,2717,11917851,2501,11920352
"24",11920864,1737,11922601,3150,11925751,2068,11927819
"25",11928324,1427,11929751,5500,11935251,1017,11936268
"26",11936777,7541,11944318,2567,11946885,2651,11949536
"27",11950044,1224,11951268,2984,11954252,2234,11956486
"28",11956998,1254,11958252,3966,11962218,1251,11963469
"29",11963988,1130,11965118,3367,11968485,1851,11970336
"30",11970834,1134,11971968,1684,11973652,3534,11977186
"31",11977688,1514,11979202,1583,11980785,3635,11984420
"32",11984926,1126,11986052,1617,11987669,3601,11991270
"33",11991761,1124,11992885,6201,11999086,1016,12000102
"34",12000617,2919,12003536,1450,12004986,3768,12008754
"35",12009273,1446,12010719,1700,12012419,3518,12015937
"36",12016429,1123,12017552,4617,12022169,1017,12023186
"37",12023690,2479,12026169,4184,12030353,1034,12031387
"38",12031888,1831,12033719,1667,12035386,3551,12038937
"39",12039445,1124,12040569,2334,12042903,2884,12045787
"40",12046276,1127,12047403,2517,12049920,2701,12052621
"41",12053138,1132,12054270,3150,12057420,2068,12059488
"42",12059999,1904,12061903,2400,12064303,2818,12067121
"43",12067612,2258,12069870,4150,12074020,1068,12075088
"44",12075604,1233,12076837,6267,12083104,1016,12084120
"45",12084626,1811,12086437,5333,12091770,1017,12092787
"46",12093292,1612,12094904,1550,12096454,3668,12100122
"47",12100616,1138,12101754,3667,12105421,1551,12106972
"48",12107482,3355,12110837,4650,12115487,1017,12116504
"49",12116993,1828,12118821,1916,12120737,3302,12124039
"50",12124558,1129,12125687,3767,12129454,1451,12130905
"51",12131417,1137,12132554,1234,12133788,3984,12137772
"52",12138295,1259,12139554,1334,12140888,3884,12144772
"53",12145283,1121,12146404,3417,12149821,1801,12151622
"54",12152125,1130,12153255,3150,12156405,2067,12158472
"55",12158964,1124,12160088,1667,12161755,3551,12165306
"56",12165805,1733,12167538,2167,12169705,3051,12172756
"57",12173264,1124,12174388,3250,12177638,1968,12179606
"58",12180113,1125,12181238,2467,12183705,2751,12186456
"59",12186959,1129,12188088,2717,12190805,2501,12193306
"60",12193821,1134,12194955,2017,12196972,3201,12200173
"61",12200711,1128,12201839,2433,12204272,2784,12207056
"62",12207577,1128,12208705,3817,12212522,1401,12213923
"63",12214433,1122,12215555,4651,12220206,1016,12221222
"64",12221759,1130,12222889,4450,12227339,1017,12228356
"65",12228850,1122,12229972,3301,12233273,1917,12235190
"66",12235684,1122,12236806,4250,12241056,1017,12242073
"67",12242572,1134,12243706,5533,12249239,1017,12250256
"68",12250764,5125,12255889,5101,12260990,1016,12262006
"69",12262529,1127,12263656,3150,12266806,2068,12268874
"70",12269364,1126,12270490,4266,12274756,1017,12275773
"71",12276287,1553,12277840,2733,12280573,2485,12283058
"72",12283576,1130,12284706,3617,12288323,1601,12289924
"73",12290432,1125,12291557,1333,12292890,3885,12296775
"74",12297301,1122,12298423,5167,12303590,1017,12304607
"75",12305120,1137,12306257,2783,12309040,2435,12311475
"76",12311989,1135,12313124,4150,12317274,1067,12318341
"77",12318834,1123,12319957,1484,12321441,3734,12325175
"78",12325689,1135,12326824,2750,12329574,2468,12332042
"79",12332557,2384,12334941,4733,12339674,1017,12340691
"80",12341181,1126,12342307,2651,12344958,2567,12347525
"81",12348032,1642,12349674,1534,12351208,3684,12354892
"82",12355403,2371,12357774,2267,12360041,2951,12362992
"83",12363502,1122,12364624,3884,12368508,1334,12369842
"84",12370362,1612,12371974,2967,12374941,2251,12377192
"85",12377709,1132,12378841,5517,12384358,1017,12385375
"86",12385872,1236,12387108,1350,12388458,3868,12392326
"87",12392815,1127,12393942,2016,12395958,3202,12399160
"88",12399657,1135,12400792,1733,12402525,3485,12406010
"89",12406538,1137,12407675,2450,12410125,2768,12412893
"90",12413413,1362,12414775,1834,12416609,3384,12419993
"91",12420520,1489,12422009,2200,12424209,3018,12427227
"92",12427762,1130,12428892,1350,12430242,3868,12434110
"93",12434633,1126,12435759,1717,12437476,3501,12440977
"94",12441483,1126,12442609,1800,12444409,3418,12447827
"95",12448338,1138,12449476,1617,12451093,3601,12454694
"96",12455205,1354,12456559,1150,12457709,4068,12461777
"97",12462269,1390,12463659,1417,12465076,3801,12468877
"98",12469390,1269,12470659,3284,12473943,1934,12475877
"99",12476364,1129,12477493,1417,12478910,3801,12482711
"100",12483225,1135,12484360,1300,12485660,3918,12489578
"101",12490079,1131,12491210,1583,12492793,3635,12496428
"102",12496943,1133,12498076,2201,12500277,3017,12503294
"103",12503790,1137,12504927,5217,12510144,1016,12511160
"104",12511675,2302,12513977,1933,12515910,3285,12519195
"105",12519700,1127,12520827,1550,12522377,3668,12526045
"106",12526564,1130,12527694,2300,12529994,2918,12532912
"107",12533440,1137,12534577,1050,12535627,4168,12539795
"108",12540298,1129,12541427,1767,12543194,3451,12546645
"109",12547157,1137,12548294,3167,12551461,2051,12553512
"110",12554025,1136,12555161,2850,12558011,2368,12560379
"111",12560878,1133,12562011,1533,12563544,3685,12567229
"112",12567720,1124,12568844,2217,12571061,3001,12574062
"113",12574559,1135,12575694,1517,12577211,3701,12580912
"114",12581450,1128,12582578,2117,12584695,3101,12587796
"115",12588310,1134,12589444,1967,12591411,3251,12594662
"116",12595171,1124,12596295,2617,12598912,2601,12601513
"117",12602027,1134,12603161,2117,12605278,3101,12608379
"118",12608890,1721,12610611,2551,12613162,2667,12615829
"119",12616347,1131,12617478,1467,12618945,3751,12622696
"120",12623215,1130,12624345,1300,12625645,3918,12629563
"121",12630065,1130,12631195,2300,12633495,2918,12636413
