"","Sbj2_fixation_timepoints","Sbj_fix_durations","Sbj2_stimuli_timepoints","Sbj2_durations","Sbj2_choice_timepoints","Sbj2_choice_durations","Sbj2_record_timepoints"
"122",12636941,1138,12638079,1650,12639729,3568,12643297
"123",12643805,1124,12644929,2050,12646979,3168,12650147
"124",12650675,1137,12651812,2550,12654362,2668,12657030
"125",12657544,1135,12658679,1433,12660112,3785,12663897
"126",12664417,1129,12665546,717,12666263,4501,12670764
"127",12671277,1135,12672412,1767,12674179,3451,12677630
"128",12678157,1122,12679279,2084,12681363,3134,12684497
"129",12685001,1128,12686129,2317,12688446,2901,12691347
"130",12691858,1121,12692979,3634,12696613,1584,12698197
"131",12698698,1131,12699829,1851,12701680,3367,12705047
"132",12705544,1402,12706946,1434,12708380,3784,12712164
"133",12712667,1129,12713796,2134,12715930,3084,12719014
"134",12719518,1129,12720647,1016,12721663,4201,12725864
"135",12726370,1127,12727497,2483,12729980,2735,12732715
"136",12733249,1131,12734380,2000,12736380,3218,12739598
"137",12740090,1123,12741213,1267,12742480,3951,12746431
"138",12746968,1912,12748880,1501,12750381,3717,12754098
"139",12754589,1125,12755714,1550,12757264,3668,12760932
"140",12761445,2035,12763480,1651,12765131,3567,12768698
"141",12769217,1130,12770347,2134,12772481,3084,12775565
"142",12776075,1122,12777197,1451,12778648,3767,12782415
"143",12782923,1124,12784047,4567,12788614,1017,12789631
"144",12790153,1128,12791281,3017,12794298,2201,12796499
"145",12797008,1123,12798131,917,12799048,4301,12803349
"146",12803866,1132,12804998,2183,12807181,3035,12810216
"147",12810726,1122,12811848,1667,12813515,3551,12817066
"148",12817564,1134,12818698,2050,12820748,3168,12823916
"149",12824445,1136,12825581,1434,12827015,3784,12830799
"150",12831320,1128,12832448,967,12833415,4251,12837666
"151",12838174,1124,12839298,1217,12840515,4001,12844516
"152",12845026,1122,12846148,2067,12848215,3151,12851366
"153",12851864,1135,12852999,2183,12855182,3034,12858216
"154",12858736,1129,12859865,5451,12865316,1016,12866332
"155",12866847,1135,12867982,3700,12871682,1518,12873200
"156",12873716,1133,12874849,1467,12876316,3751,12880067
"157",12880568,1131,12881699,1250,12882949,3968,12886917
"158",12887446,1136,12888582,2001,12890583,3217,12893800
"159",12894317,1132,12895449,4350,12899799,1017,12900816
"160",12901340,1126,12902466,1217,12903683,4001,12907684
"161",12908189,2811,12911000,2983,12913983,2234,12916217
"162",12916717,1133,12917850,1666,12919516,3551,12923067
"163",12923584,1132,12924716,2200,12926916,3018,12929934
"164",12930440,1126,12931566,1084,12932650,4134,12936784
"165",12937290,1127,12938417,4083,12942500,1134,12943634
"166",12944137,1130,12945267,1050,12946317,4168,12950485
"167",12951001,1132,12952133,3717,12955850,1501,12957351
"168",12957855,1129,12958984,1500,12960484,3717,12964201
"169",12964724,1126,12965850,1100,12966950,4118,12971068
"170",12971583,1134,12972717,3200,12975917,2018,12977935
"171",12978441,1126,12979567,1600,12981167,3618,12984785
"172",12985306,1128,12986434,2034,12988468,3184,12991652
"173",12992177,1440,12993617,1284,12994901,3934,12998835
"174",12999351,1133,13000484,2234,13002718,2984,13005702
"175",13006205,1129,13007334,1784,13009118,3434,13012552
"176",13013057,1127,13014184,1367,13015551,3851,13019402
"177",13019915,1136,13021051,1417,13022468,3801,13026269
"178",13026780,1121,13027901,3134,13031035,2084,13033119
"179",13033620,1131,13034751,2100,13036851,3118,13039969
"180",13040480,1138,13041618,3650,13045268,1568,13046836
"181",13047353,1132,13048485,2517,13051002,2701,13053703
"182",13054240,1128,13055368,3117,13058485,2101,13060586
"183",13061115,1137,13062252,1267,13063519,3951,13067470
"184",13067974,1128,13069102,2183,13071285,3035,13074320
"185",13074824,1128,13075952,1167,13077119,4051,13081170
"186",13081683,1136,13082819,1333,13084152,3885,13088037
"187",13088533,1653,13090186,1250,13091436,3967,13095403
"188",13095940,1796,13097736,1433,13099169,3785,13102954
"189",13103453,1133,13104586,1733,13106319,3485,13109804
"190",13110305,1131,13111436,4500,13115936,1017,13116953
"191",13117475,3711,13121186,3100,13124286,2118,13126404
"192",13126903,1133,13128036,2000,13130036,3218,13133254
"193",13133793,1127,13134920,1183,13136103,4034,13140137
"194",13140638,1648,13142286,1034,13143320,4184,13147504
"195",13148015,1138,13149153,2284,13151437,2934,13154371
"196",13154883,1137,13156020,2267,13158287,2951,13161238
"197",13161741,1129,13162870,1767,13164637,3451,13168088
"198",13168612,1125,13169737,3533,13173270,1685,13174955
"199",13175475,1129,13176604,2633,13179237,2584,13181821
"200",13182346,1124,13183470,1084,13184554,4134,13188688
