"","events_1","durations_1"
"1",1486344,3315
"2",1508292,3334
"3",1538209,4567
"4",1545609,4367
"5",1584343,2734
"6",1599077,2400
"7",1635244,2200
"8",1673828,2433
"9",1681311,7317
"10",1712978,3417
"11",1735046,3433
"12",1798030,1983
"13",1826697,2833
"14",1852081,2167
"15",1866114,3834
"16",1880548,2467
"17",1903348,3000
"18",1911232,2916
"19",1948065,3934
"20",1957282,2167
"21",2010783,2167
"22",2020050,3767
"23",2057117,2717
"24",2087184,2234
"25",2115368,2484
"26",2147769,2800
"27",2163202,2367
"28",2186086,2250
"29",2250504,4267
"30",2257804,3633
"31",2319505,2450
"32",2328005,2267
"33",2358405,1934
"34",2416806,3917
"35",2447840,4517
"36",2454690,2617
"37",2475574,2267
"38",2498458,1633
"39",2514158,3883
"40",2550092,3000
"41",2572792,2100
"42",2596126,2033
"43",2625976,3600
"44",2677077,2834
"45",2711478,3950
"46",2756562,4750
"47",2771929,3616
"48",2797812,2467
"49",2875064,2116
"50",2907181,3117
"51",3012516,4633
"52",3020616,2283
"53",3044666,2817
