"","stimuli_1","durations_1","choices_1","choice_durations_1","record_1"
"1",11753248,1784,11755032,3434,11758466
"2",11773815,1417,11775232,3801,11779033
"3",11801866,1683,11803549,3535,11807084
"4",11808716,4300,11813016,1017,11814033
"5",11851083,3884,11854967,1334,11856301
"6",11865550,2867,11868417,2351,11870768
"7",11900901,2150,11903051,3068,11906119
"8",11944318,2567,11946885,2651,11949536
"9",11951268,2984,11954252,2234,11956486
"10",11979202,1583,11980785,3635,11984420
"11",12003536,1450,12004986,3768,12008754
"12",12061903,2400,12064303,2818,12067121
"13",12094904,1550,12096454,3668,12100122
"14",12118821,1916,12120737,3302,12124039
"15",12132554,1234,12133788,3984,12137772
"16",12146404,3417,12149821,1801,12151622
"17",12167538,2167,12169705,3051,12172756
"18",12174388,3250,12177638,1968,12179606
"19",12208705,3817,12212522,1401,12213923
"20",12215555,4651,12220206,1016,12221222
"21",12270490,4266,12274756,1017,12275773
"22",12277840,2733,12280573,2485,12283058
"23",12313124,4150,12317274,1067,12318341
"24",12342307,2651,12344958,2567,12347525
"25",12371974,2967,12374941,2251,12377192
"26",12400792,1733,12402525,3485,12406010
"27",12414775,1834,12416609,3384,12419993
"28",12435759,1717,12437476,3501,12440977
"29",12484360,1300,12485660,3918,12489578
"30",12491210,1583,12492793,3635,12496428
"31",12548294,3167,12551461,2051,12553512
"32",12555161,2850,12558011,2368,12560379
"33",12575694,1517,12577211,3701,12580912
"34",12624345,1300,12625645,3918,12629563
"35",12651812,2550,12654362,2668,12657030
"36",12658679,1433,12660112,3785,12663897
"37",12679279,2084,12681363,3134,12684497
"38",12699829,1851,12701680,3367,12705047
"39",12713796,2134,12715930,3084,12719014
"40",12748880,1501,12750381,3717,12754098
"41",12770347,2134,12772481,3084,12775565
"42",12791281,3017,12794298,2201,12796499
"43",12818698,2050,12820748,3168,12823916
"44",12859865,5451,12865316,1016,12866332
"45",12888582,2001,12890583,3217,12893800
"46",12931566,1084,12932650,4134,12936784
"47",12945267,1050,12946317,4168,12950485
"48",12965850,1100,12966950,4118,12971068
"49",13034751,2100,13036851,3118,13039969
"50",13062252,1267,13063519,3951,13067470
"51",13156020,2267,13158287,2951,13161238
"52",13162870,1767,13164637,3451,13168088
"53",13183470,1084,13184554,4134,13188688
