"","events_2","durations_2"
"1",1493642,2283
"2",1523759,2000
"3",1570110,5100
"4",1591360,2033
"5",1614227,3184
"6",1628227,2267
"7",1720045,2500
"8",1727879,4833
"9",1742812,2700
"10",1782696,3284
"11",1819630,2634
"12",1873131,2734
"13",1888681,1967
"14",1973533,4866
"15",2035267,2867
"16",2064867,6101
"17",2080151,1967
"18",2094184,2067
"19",2101185,1883
"20",2122835,1733
"21",2138802,3750
"22",2170236,4900
"23",2202003,4767
"24",2210303,13534
"25",2233887,2417
"26",2273537,3717
"27",2280404,2534
"28",2295104,4051
"29",2312488,2583
"30",2408023,3583
"31",2440823,2251
"32",2468707,2684
"33",2506924,1567
"34",2603059,2017
"35",2610576,2334
"36",2652927,4683
"37",2667977,2033
"38",2703561,2300
"39",2718511,2800
"40",2728178,3017
"41",2764895,2167
"42",2779395,3267
"43",2813613,3050
"44",2829313,4317
"45",2865597,1833
"46",2899714,1900
"47",2958015,4533
"48",2981782,2317
"49",3003649,6000
"50",3036683,2683
