"","stimuli_2","durations_2","choices_2","choice_durations_2","record_2"
"1",14912114,1467,14913581,3751,14917332
"2",14939547,784,14940331,4434,14944765
"3",14980615,767,14981382,4451,14985833
"4",15001848,1417,15003265,3801,15007066
"5",15022832,833,15023665,4385,15028050
"6",15036532,1034,15037566,4184,15041750
"7",15119233,834,15120067,4384,15124451
"8",15126084,1566,15127650,3652,15131302
"9",15139784,2050,15141834,3168,15145002
"10",15181268,1833,15183101,3385,15186486
"11",15215518,967,15216485,4251,15220736
"12",15265819,1600,15267419,3618,15271037
"13",15279503,900,15280403,4317,15284720
"14",15358071,933,15359004,4285,15363289
"15",15414188,1500,15415688,3718,15419406
"16",15441639,1683,15443322,3535,15446857
"17",15455339,1200,15456539,4018,15460557
"18",15469056,1117,15470173,4101,15474274
"19",15475922,2301,15478223,2917,15481140
"20",15496489,951,15497440,4267,15501707
"21",15510173,2167,15512340,3051,15515391
"22",15537557,1117,15538674,4101,15542775
"23",15564974,1433,15566407,3785,15570192
"24",15571841,1216,15573057,4001,15577058
"25",15585541,1417,15586958,3801,15590759
"26",15619775,1533,15621308,3685,15624993
"27",15626625,950,15627575,4268,15631843
"28",15640358,1967,15642325,3251,15645576
"29",15654842,933,15655775,4285,15660060
"30",15730776,834,15731610,4384,15735994
"31",15758160,734,15758894,4484,15763378
"32",15785894,2700,15788594,2518,15791112
"33",15820844,2751,15823595,2467,15826062
"34",15910262,1151,15911413,4067,15915480
"35",15917113,2833,15919946,2384,15922330
"36",15951430,1700,15953130,3518,15956648
"37",15965147,1550,15966697,3668,15970365
"38",15992814,2117,15994931,3101,15998032
"39",16006547,1017,16007564,4201,16011765
"40",16013431,1133,16014564,4085,16018649
"41",16047898,700,16048598,4518,16053116
"42",16061631,734,16062365,4484,16066849
"43",16089982,783,16090765,4435,16095200
"44",16103882,1017,16104899,4201,16109100
"45",16140449,1917,16142366,3301,16145667
"46",16167867,1150,16169017,4067,16173084
"47",16223734,2450,16226184,2768,16228952
"48",16244318,816,16245134,4402,16249536
"49",16258851,2717,16261568,2501,16264069
"50",16286302,1017,16287319,4201,16291520
